"Concept Id","Name","Description","Synonyms","Answers","Set Members","Class","Datatype","Changed By","Creator"
1,"yes","answer; yes","yes
affirmative
oo","yes
no",,"Misc","Boolean","Super User","Super User"
2,"no","answer; no","hindi
no","yes
no",,"Misc","Boolean","Super User","Super User"
3,"civil status","drop-down list for the question which asks the civil status of the person in question","civil status","never married
divorced
living with partner
married
separated
widowed","separated
never married
divorced
widowed
living with partner
married","Question","Coded","Super User","Super User"
6,"divorced","answer; divorced with partner as recognized by law","divorced","no
yes",,"Misc","Boolean","Super User","null"
7,"ANNULLED","Answer which describes a type of civil status.","ANNULLED",,,"Finding","N/A",,"null"
8,"widowed","answer; has no partner due to death of partner and has not had another partner since","biyudo
biyuda
widowed","no
yes",,"Misc","Boolean","Super User","null"
9,"living with partner","answer; has no official binding with partner but is living with partner in the same household","living with partner","yes
no",,"Misc","Boolean","Super User","null"
10,"married","answer; offically bound with partner as recognized by law or church","kasal
married","no
yes",,"Misc","Boolean","Super User","null"
11,"never married","answer; never had an official binding with a partner recognized by law or church","never married
hindi pa ikinakasal","no
yes",,"Misc","Boolean","Super User","null"
12,"SINGLE","Not Married.","SINGLE",,,"Finding","N/A",,"null"
13,"separated","answer; separated with partner","hiwalay
separated","no
yes",,"Misc","Boolean","Super User","null"
14,"LIVE_IN","Live-in with partner.","LIVE_IN",,,"Finding","N/A",,"null"
15,"CHITS_PHILHEALTH_SPONSOR","Philhealth Sponsor","CHITS_PHILHEALTH_SPONSOR","PROVINCE
REGION
BARANGAY
MUNICIPALITY/CITY
CCT - NATIONAL
LGU
Others
IPP
EMPLOYER",,"Question","Coded",,"null"
16,"CCT - NATIONAL","NATIONAL","CCT - NATIONAL",,,"Finding","N/A","Super User","null"
17,"LGU","LGU","LGU",,,"Finding","N/A",,"null"
18,"IPP","IPP","IPP",,,"Finding","N/A","Super User","null"
19,"EMPLOYER","EMPLOYER","EMPLOYER",,,"Finding","N/A","Super User","null"
20,"WIDOW","Widow or widower","WIDOW",,,"Finding","N/A",,"Super User"
21,"Weight (kg)","numeric input of 
""CSP/PT | weight of an organism's body, usually measured in kilograms or pounds.
MSH/MH | The mass or quantity of heaviness of an individual. It is expressed by units of pounds or kilograms.
NCI/PT | The weight of a subject.""","bigat [ph]
Weight (kg)
wt (kg)",,,"Question","Numeric",,"null"
22,"Vital signs","data set containing pertinent vital signs for initial assessment","Vital signs",,"Diastolic Blood Pressure
Systolic Blood Pressure
PULSE
Respiratory Rate
Heart Rate
Temperature (C)","ConvSet","N/A","Super User","null"
23,"Height (cm)","numeric input of the distance from the sole to the crown of the head with body standing on a flat surface and fully extended.","ht (cm)
Height (cm)",,,"Question","Numeric",,"null"
24,"head circumference (cm)","numeric input of infant's head circumference in centimeters

measurement of the largest part of the infant's head, just above the eyebrow and ears; used to determine brain growth","head circumference (cm)
HC",,,"Finding","Numeric","Super User","null"
25,"chest circumference (cm)","numeric input of the horizontal circumference taken just above the nipples during a period of quiet breathing","chest circumference (cm)",,,"Finding","Numeric","Super User","null"
26,"Waist circumference (cm)","numeric input of the measurement around the body at the level of the ABDOMEN and just above the hip bone. The measurement is usually taken immediately after exhalation.","Waist circumference (cm)
WC",,,"Anatomy","Numeric","null","null"
27,"Hip circumference (cm)","numeric input of
The projecting part on each side of the body, formed by the side of the pelvis and the top portion of the femur.","Hip circumference (cm)
HC",,,"Question","Numeric",,"null"
28,"Diastolic Blood Pressure","Numeric input of a patient's diastolic blood pressure measurement (taken with a manual cuff in either a sitting or standing position)","DBP
Diastolic Blood Pressure
Diastolic",,,"Finding","Numeric","Super User","null"
29,"Systolic Blood Pressure","Numeric input of a patient's systolic blood pressure measurement (taken with a manual cuff in either a sitting or standing position)","Systolic
Systolic Blood Pressure
SBP",,,"Finding","Numeric","Super User","null"
30,"PULSE","Patient pulse rate, as measured with a peripheral oximeter.","PULSE",,,"Anatomy","Numeric","Super User","null"
31,"Respiratory Rate","Numeric input measured respiratory rate in breaths per minute","paghinga
RR
Respiratory Rate",,,"Finding","Numeric","Super User","null"
32,"Temperature (C)","Numeric input of Patient's temperature in degrees centigrade.","temperatura
Temp
T
Temperature (C)",,,"Finding","Numeric","Super User","null"
39,"Complaint","Patient's chief complaint that prompted visit.","Complaint","Acute Abdomen
Abdominal and Pelvic Pain
Pelvic and perineal pain
Pain Localized to upper abdomen
Other and unspecified abdominal pain
Pain localized to other parts of lower abdomen
Heartburn
Nausea and vomiting
Flatulence and related conditions
dysphagia
Unspecified jaundice
Faecal incontinence
Other skin changes
Ascites
Pallor
Cyanosis
Changes in skin texture
Other and unspecified skin changes
Flushing
Spontaneous ecchymoses
Other specified fever
Fever, unspecified
Fever of other and unknown origin
Drug-induced fever
Acute pain
Chronic intractable pain
Headache
Pain, not elsewhere classified
Other chronic pain",,"Question","Coded",,"Super User"
40,"Complaint Notes","Doctor's notes about the patient's complaint.","Complaint Notes",,,"ConvSet","N/A",,"Super User"
41,"History Notes","Notes about the patient's history.","History Notes",,"Adult OB Gyne History Notes
Adult Past Medical History Notes
Adult Personal-Social History Notes
Adult Present Illness History Notes
Adult Review of Systems (ROS) Notes
Pedia Birth:Feeding:Immunization History Notes
Pedia Development History Notes
Pedia History Present Illness Notes
Pedia Review of Systems (ROS) Notes","ConvSet","N/A",,"Super User"
42,"Physical Exam Notes","Notes about the patient's physical exams during the visit.","Physical Exam Notes",,"Adult General Exam Notes
ENT Exam Notes
Gyne Exam Notes
Neuro Exam Notes
Ophtha Exam Notes
Pedia General Exam Notes
Pedia ROS Notes
Psychiatric Exam Notes","ConvSet","N/A",,"Super User"
43,"Diagnosis Notes","The doctor's diagnosis for the patient's complaint.","Diagnosis Notes",,,"ConvSet","N/A",,"Super User"
